#Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Developmental_Stage	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_name	SRA Study
SRR6245988	RNA-Seq	152	19820309648	PRJNA416866	SAMN07966287	13734001044	GEO	public	NA	NA	NA	10h	SRX3353162	GSM2837517	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837517	whole embryo	SRP123447
SRR6245989	RNA-Seq	199	4955496253	PRJNA416866	SAMN07966286	3187907498	GEO	public	NA	NA	NA	11h	SRX3353163	GSM2837518	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837518	whole embryo	SRP123447
SRR6245990	RNA-Seq	199	4904131583	PRJNA416866	SAMN07966285	3161062255	GEO	public	NA	NA	NA	11h	SRX3353164	GSM2837519	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837519	whole embryo	SRP123447
SRR6245991	RNA-Seq	198	5906232665	PRJNA416866	SAMN07966284	3809697362	GEO	public	NA	NA	NA	15h	SRX3353165	GSM2837520	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837520	whole embryo	SRP123447
SRR6245992	RNA-Seq	198	4826792529	PRJNA416866	SAMN07966283	3095468138	GEO	public	NA	NA	NA	15h	SRX3353166	GSM2837521	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837521	whole embryo	SRP123447
SRR6245993	RNA-Seq	250	23084916500	PRJNA416866	SAMN07966282	11383271620	GEO	public	NA	NA	NA	15h	SRX3353167	GSM2837522	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837522	whole embryo	SRP123447
SRR6245994	RNA-Seq	250	24305202000	PRJNA416866	SAMN07966281	11506940274	GEO	public	NA	NA	NA	15h	SRX3353168	GSM2837523	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837523	whole embryo	SRP123447
SRR6245995	RNA-Seq	198	5509117502	PRJNA416866	SAMN07966280	3548509726	GEO	public	NA	NA	NA	18h	SRX3353169	GSM2837524	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837524	whole embryo	SRP123447
SRR6245996	RNA-Seq	199	5845470705	PRJNA416866	SAMN07966279	3792930892	GEO	public	NA	NA	NA	18h	SRX3353170	GSM2837525	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837525	whole embryo	SRP123447
SRR6245997	RNA-Seq	54	1489555116	PRJNA416866	SAMN07966278	818502583	GEO	public	NA	NA	NA	21h	SRX3353171	GSM2837526	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Branchiostoma lanceolatum	ILLUMINA	2018-08-16T00:00:00Z	GSM2837526	whole embryo	SRP123447
