gene_id	tpm	classification	type
BLAG11000918	598.884	coding_3	genic
BLAG11000919	3.86621	coding_1	genic
BLAG12000620	2060.05	coding_3	genic
BLAG12000621	5491.47	coding_4	genic
BLAG11000920	47.9026	coding_2	genic
BLAG12000622	23464.8	coding_4	genic
BLAG11000921	104.509	coding_2	genic
BLAG12000623	1075.7	coding_3	genic
BLAG11000922	411.13	coding_3	genic
BLAG12000624	59.1946	coding_2	genic
BLAG11000923	1629.53	coding_3	genic
BLAG12000625	51.168	coding_2	genic
BLAG11000924	516.203	coding_3	genic
BLAG12000626	1547.36	coding_3	genic
BLAG11000925	306.76	coding_3	genic
BLAG12000627	508.435	coding_3	genic
BLAG11000926	570.513	coding_3	genic
BLAG12000628	213.001	coding_2	genic
BLAG11000927	39.2813	coding_2	genic
BLAG12000629	23.8898	coding_1	genic
BLAG11000928	107.708	coding_2	genic
BLAG11000929	919.865	coding_3	genic
BLAG12000630	63.0188	coding_2	genic
BLAG12000631	273.687	coding_3	genic
BLAG11000930	715.962	coding_3	genic
BLAG12000632	85.1376	coding_2	genic
BLAG11000931	439.033	coding_3	genic
BLAG12000633	253.613	coding_3	genic
BLAG11000932	13520.4	coding_4	genic
BLAG12000634	985.141	coding_3	genic
BLAG11000933	2620.56	coding_4	genic
BLAG12000635	3.15494	coding_1	genic
BLAG11000934	1258.54	coding_3	genic
BLAG12000636	1.08926	coding_1	genic
BLAG11000935	0.757846	coding_1	genic
BLAG12000637	29.613	coding_1	genic
BLAG11000936	371.161	coding_3	genic
BLAG12000638	15.6287	coding_1	genic
BLAG11000937	211.219	coding_2	genic
BLAG12000639	7.26012	coding_1	genic
BLAG11000938	1903.43	coding_3	genic
BLAG11000939	101.684	coding_2	genic
BLAG12000640	423.662	coding_3	genic
BLAG12000641	6359.33	coding_4	genic
BLAG11000940	17.5613	coding_1	genic
BLAG12000642	2866.88	coding_4	genic
BLAG11000941	2179.31	coding_4	genic
BLAG12000643	344.665	coding_3	genic
BLAG11000942	354.12	coding_3	genic
BLAG12000644	381.846	coding_3	genic
BLAG11000943	268.112	coding_3	genic
BLAG12000645	89.205	coding_2	genic
BLAG11000944	789.104	coding_3	genic
BLAG12000646	98.6395	coding_2	genic
BLAG11000945	57.2733	coding_2	genic
BLAG12000647	629.957	coding_3	genic
BLAG11000946	150.257	coding_2	genic
BLAG12000648	1518.89	coding_3	genic
BLAG11000947	892.24	coding_3	genic
BLAG12000649	668.103	coding_3	genic
BLAG11000948	1192.41	coding_3	genic
BLAG11000949	419.118	coding_3	genic
BLAG12000650	626.52	coding_3	genic
BLAG12000651	34.0008	coding_2	genic
BLAG11000950	1000.15	coding_3	genic
BLAG12000652	121.487	coding_2	genic
BLAG11000951	412.272	coding_3	genic
BLAG12000653	808.554	coding_3	genic
BLAG11000952	1308.86	coding_3	genic
BLAG12000654	14.5013	coding_1	genic
BLAG11000953	64.6599	coding_2	genic
BLAG12000655	51.7804	coding_2	genic
BLAG11000954	1288.51	coding_3	genic
BLAG12000656	2733.62	coding_4	genic
BLAG11000955	71.5169	coding_2	genic
BLAG12000657	15170.9	coding_4	genic
BLAG11000956	37.1402	coding_2	genic
BLAG12000658	2816.01	coding_4	genic
