psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
195841	12746	31888	2	1972	391106	2078	1081060	+	Sc0000087	1537600	101530	733113	Sc_hox	2000000	14641	1336178	2667
27935	2461	1896	1	312	1252279	341	572468	+	Sc0000087	1537600	132574	1417146	Sc_hox	2000000	14960	619721	392
728242	28452	78607	4	3725	433462	4543	640478	-	Sc0000087	1537600	268832	1537599	Sc_hox	2000000	497609	1973392	6100
35016	1862	3073	2	348	1242612	374	1870064	-	Sc0000087	1537600	249579	1532144	Sc_hox	2000000	12167	1922184	463
28316	1977	4178	0	400	1407493	404	1333815	-	Sc0000087	1537600	40628	1482592	Sc_hox	2000000	133678	1501964	513
16975	652	1869	0	108	6135	129	3853	-	Sc0000087	1537600	890	26521	Sc_hox	2000000	0	23349	168
16829	1091	578	2	201	1447232	198	1341217	-	Sc0000087	1537600	57426	1523158	Sc_hox	2000000	295253	1654970	258
11195	660	151	0	138	1158741	127	1689120	-	Sc0000087	1537600	352374	1523121	Sc_hox	2000000	272260	1973386	169
8511	539	341	0	116	1181381	99	1645868	-	Sc0000087	1537600	332349	1523121	Sc_hox	2000000	268100	1923359	137
8232	414	48	0	123	1152560	108	1561570	-	Sc0000087	1537600	361867	1523121	Sc_hox	2000000	272951	1843215	142
6880	375	358	0	87	1256754	77	1497809	-	Sc0000087	1537600	258754	1523121	Sc_hox	2000000	272636	1778058	103
6628	319	311	0	78	1115245	77	1506908	-	Sc0000087	1537600	414423	1536926	Sc_hox	2000000	409185	1923351	96
6336	286	10	0	82	1124522	71	1394967	-	Sc0000087	1537600	384995	1516149	Sc_hox	2000000	521109	1922708	95
5795	257	58	0	69	913155	60	1443635	-	Sc0000087	1537600	596848	1516113	Sc_hox	2000000	521109	1970854	82
5678	265	44	0	58	1235802	58	1029350	-	Sc0000087	1537600	274252	1516041	Sc_hox	2000000	521109	1556446	76
5369	247	20	0	61	1106614	56	1396531	-	Sc0000087	1537600	404151	1516401	Sc_hox	2000000	521181	1923348	70
4832	176	131	0	50	1236607	46	1075357	-	Sc0000087	1537600	274259	1516005	Sc_hox	2000000	521109	1601605	64
